window,h,true,lstm,last_sinr
179,3,7.3266816,7.340733,8.915708
180,1,5.433894,7.3235507,7.516639
180,2,7.3266816,7.406782,7.516639
180,3,7.4506645,7.3500414,7.516639
181,1,7.3266816,7.3575654,5.433894
181,2,7.4506645,7.407647,5.433894
181,3,8.210461,7.3606033,5.433894
182,1,7.4506645,7.351636,7.3266816
182,2,8.210461,7.417334,7.3266816
182,3,6.228024,7.366537,7.3266816
183,1,8.210461,7.3524714,7.4506645
183,2,6.228024,7.4209414,7.4506645
183,3,-1.0106629,7.369173,7.4506645
184,1,6.228024,7.3442016,8.210461
184,2,-1.0106629,7.4199286,8.210461
184,3,9.4266205,7.3656073,8.210461
185,1,-1.0106629,7.363322,6.228024
185,2,9.4266205,7.408826,6.228024
185,3,7.3114514,7.3660502,6.228024
186,1,9.4266205,7.423322,-1.0106629
186,2,7.3114514,7.3935533,-1.0106629
186,3,2.422755,7.355096,-1.0106629
187,1,7.3114514,7.360325,9.4266205
187,2,2.422755,7.428776,9.4266205
187,3,6.0575686,7.367267,9.4266205
188,1,2.422755,7.3542094,7.3114514
188,2,6.0575686,7.430638,7.3114514
188,3,8.77807,7.369006,7.3114514
189,1,6.0575686,7.4007335,2.422755
189,2,8.77807,7.4152803,2.422755
189,3,7.3811197,7.36931,2.422755
190,1,8.77807,7.3854856,6.0575686
190,2,7.3811197,7.428553,6.0575686
190,3,7.3209968,7.3780913,6.0575686
191,1,7.3811197,7.3574247,8.77807
191,2,7.3209968,7.440007,8.77807
191,3,7.869026,7.3779635,8.77807
192,1,7.3209968,7.3598638,7.3811197
192,2,7.869026,7.431157,7.3811197
192,3,7.3880267,7.3746724,7.3811197
193,1,7.869026,7.3613253,7.3209968
193,2,7.3880267,7.422456,7.3209968
193,3,5.0319986,7.3722115,7.3209968
194,1,7.3880267,7.353671,7.869026
194,2,5.0319986,7.4170957,7.869026
194,3,6.8329043,7.3678365,7.869026
195,1,5.0319986,7.3544126,7.3880267
195,2,6.8329043,7.4089875,7.3880267
195,3,6.712947,7.364312,7.3880267
196,1,6.8329043,7.378354,5.0319986
196,2,6.712947,7.399885,5.0319986
196,3,7.542017,7.366497,5.0319986
197,1,6.712947,7.367249,6.8329043
197,2,7.542017,7.4116035,6.8329043
197,3,6.1814632,7.3713937,6.8329043
198,1,7.542017,7.3656435,6.712947
198,2,6.1814632,7.4175777,6.712947
198,3,5.836874,7.3732023,6.712947
199,1,6.1814632,7.358026,7.542017
199,2,5.836874,7.4223566,7.542017
199,3,7.8296933,7.372979,7.542017
200,1,5.836874,7.369787,6.1814632
200,2,7.8296933,7.417939,6.1814632
200,3,7.852212,7.373281,6.1814632
201,1,7.8296933,7.377607,5.836874
201,2,7.852212,7.4183297,5.836874
201,3,7.756124,7.375612,5.836874
202,1,7.852212,7.3608775,7.8296933
202,2,7.756124,7.426401,7.8296933
202,3,10.232577,7.3755774,7.8296933
203,1,7.756124,7.3548126,7.852212
203,2,10.232577,7.42527,7.852212
203,3,6.556177,7.372322,7.852212
204,1,10.232577,7.352303,7.756124
204,2,6.556177,7.418416,7.756124
204,3,6.5378366,7.3675904,7.756124
205,1,6.556177,7.3189163,10.232577
205,2,6.5378366,7.412508,10.232577
205,3,8.6339,7.3481517,10.232577
206,1,6.5378366,7.3417215,6.556177
206,2,8.6339,7.3787007,6.556177
206,3,8.045665,7.3385963,6.556177
207,1,8.6339,7.3467026,6.5378366
207,2,8.045665,7.3721886,6.5378366
207,3,4.403448,7.3419685,6.5378366
208,1,8.045665,7.3209043,8.6339
208,2,4.403448,7.3803144,8.6339
208,3,9.183163,7.338563,8.6339
209,1,4.403448,7.3147817,8.045665
209,2,9.183163,7.373271,8.045665
209,3,6.921706,7.3305407,8.045665
210,1,9.183163,7.3557944,4.403448
210,2,6.921706,7.3611393,4.403448
210,3,6.7897744,7.336937,4.403448
211,1,6.921706,7.316566,9.183163
211,2,6.7897744,7.38715,9.183163
211,3,9.238175,7.3413725,9.183163
212,1,6.7897744,7.326395,6.921706
212,2,9.238175,7.3828454,6.921706
212,3,8.606221,7.340353,6.921706
213,1,9.238175,7.333867,6.7897744
213,2,8.606221,7.3843627,6.7897744
213,3,7.7499366,7.3444,6.7897744
214,1,8.606221,7.309056,9.238175
214,2,7.7499366,7.392371,9.238175
214,3,6.667223,7.3387785,9.238175
215,1,7.7499366,7.3040037,8.606221
215,2,6.667223,7.3796678,8.606221
215,3,7.6541915,7.32648,8.606221
216,1,6.667223,7.303899,7.7499366
216,2,7.6541915,7.355133,7.7499366
216,3,7.6900287,7.3124757,7.7499366
217,1,7.6541915,7.3028197,6.667223
217,2,7.6900287,7.32869,6.667223
217,3,9.1115055,7.299774,6.667223
218,1,7.6900287,7.2969832,7.6541915
218,2,9.1115055,7.339379,7.6541915
218,3,7.90816,7.306632,7.6541915
219,1,9.1115055,7.2966022,7.6900287
219,2,7.90816,7.346792,7.6900287
219,3,5.726975,7.310468,7.6900287
220,1,7.90816,7.278663,9.1115055
220,2,5.726975,7.3504195,9.1115055
220,3,7.0069585,7.3029127,9.1115055
221,1,5.726975,7.291828,7.90816
221,2,7.0069585,7.343748,7.90816
221,3,6.8469377,7.3023047,7.90816
222,1,7.0069585,7.313296,5.726975
222,2,6.8469377,7.3249855,5.726975
222,3,7.872826,7.302054,5.726975
223,1,6.8469377,7.299793,7.0069585
223,2,7.872826,7.334503,7.0069585
223,3,5.603266,7.3065333,7.0069585
224,1,7.872826,7.3094635,6.8469377
224,2,5.603266,7.3559437,6.8469377
224,3,9.418947,7.321673,6.8469377
225,1,5.603266,7.304723,7.872826
225,2,9.418947,7.372308,7.872826
225,3,11.002361,7.3281527,7.872826
226,1,9.418947,7.304654,5.603266
226,2,11.002361,7.3438296,5.603266
226,3,6.0531893,7.308784,5.603266
227,1,11.002361,7.30204,9.418947
227,2,6.0531893,7.390951,9.418947
