window,h,true,lstm,last_sinr
188,1,2.422755,7.361193,7.3114514
188,2,6.0575686,7.366742,7.3114514
188,3,8.77807,7.3983865,7.3114514
189,1,6.0575686,7.4323254,2.422755
189,2,8.77807,7.4060893,2.422755
189,3,7.3811197,7.391981,2.422755
190,1,8.77807,7.397664,6.0575686
190,2,7.3811197,7.3813105,6.0575686
190,3,7.3209968,7.4092164,6.0575686
191,1,7.3811197,7.354038,8.77807
191,2,7.3209968,7.3592844,8.77807
191,3,7.869026,7.4083323,8.77807
192,1,7.3209968,7.365079,7.3811197
192,2,7.869026,7.3649726,7.3811197
192,3,7.3880267,7.3946257,7.3811197
193,1,7.869026,7.3714333,7.3209968
193,2,7.3880267,7.364238,7.3209968
193,3,5.0319986,7.388485,7.3209968
194,1,7.3880267,7.3622003,7.869026
194,2,5.0319986,7.354764,7.869026
194,3,6.8329043,7.385326,7.869026
195,1,5.0319986,7.3648343,7.3880267
195,2,6.8329043,7.3514614,7.3880267
195,3,6.712947,7.3797865,7.3880267
196,1,6.8329043,7.406148,5.0319986
196,2,6.712947,7.375697,5.0319986
196,3,7.542017,7.376966,5.0319986
197,1,6.712947,7.3866625,6.8329043
197,2,7.542017,7.364545,6.8329043
197,3,6.1814632,7.3912077,6.8329043
198,1,7.542017,7.380638,6.712947
198,2,6.1814632,7.3650513,6.712947
198,3,5.836874,7.393771,6.712947
199,1,6.1814632,7.365712,7.542017
199,2,5.836874,7.359552,7.542017
199,3,7.8296933,7.3942475,7.542017
200,1,5.836874,7.3853045,6.1814632
200,2,7.8296933,7.3721147,6.1814632
200,3,7.852212,7.38952,6.1814632
201,1,7.8296933,7.396855,5.836874
201,2,7.852212,7.3782244,5.836874
201,3,7.756124,7.392603,5.836874
202,1,7.852212,7.3693595,7.8296933
202,2,7.756124,7.363522,7.8296933
202,3,10.232577,7.3979387,7.8296933
203,1,7.756124,7.3608723,7.852212
203,2,10.232577,7.3594327,7.852212
203,3,6.556177,7.392131,7.852212
204,1,10.232577,7.359198,7.756124
204,2,6.556177,7.3563547,7.756124
204,3,6.5378366,7.385533,7.756124
205,1,6.556177,7.31974,10.232577
205,2,6.5378366,7.314582,10.232577
205,3,8.6339,7.373202,10.232577
206,1,6.5378366,7.3509064,6.556177
206,2,8.6339,7.327586,6.556177
206,3,8.045665,7.352234,6.556177
207,1,8.6339,7.360025,6.5378366
207,2,8.045665,7.331114,6.5378366
207,3,4.403448,7.355845,6.5378366
208,1,8.045665,7.3232775,8.6339
208,2,4.403448,7.2992887,8.6339
208,3,9.183163,7.361672,8.6339
209,1,4.403448,7.309906,8.045665
209,2,9.183163,7.2852197,8.045665
209,3,6.921706,7.3523912,8.045665
210,1,9.183163,7.36538,4.403448
210,2,6.921706,7.3408113,4.403448
210,3,6.7897744,7.3523774,4.403448
211,1,6.921706,7.3108187,9.183163
211,2,6.7897744,7.302914,9.183163
211,3,9.238175,7.372049,9.183163
212,1,6.7897744,7.3296156,6.921706
212,2,9.238175,7.321826,6.921706
212,3,8.606221,7.3647714,6.921706
213,1,9.238175,7.341513,6.7897744
213,2,8.606221,7.334278,6.7897744
213,3,7.7499366,7.3685374,6.7897744
214,1,8.606221,7.3093166,9.238175
214,2,7.7499366,7.3066564,9.238175
214,3,6.667223,7.3688354,9.238175
215,1,7.7499366,7.303178,8.606221
215,2,6.667223,7.292466,8.606221
215,3,7.6541915,7.353553,8.606221
216,1,6.667223,7.3030853,7.7499366
216,2,7.6541915,7.2807727,7.7499366
216,3,7.6900287,7.3394327,7.7499366
217,1,7.6541915,7.306742,6.667223
217,2,7.6900287,7.277358,6.667223
217,3,9.1115055,7.3324003,6.667223
218,1,7.6900287,7.299824,7.6541915
218,2,9.1115055,7.272362,7.6541915
218,3,7.90816,7.3430567,7.6541915
219,1,9.1115055,7.2960534,7.6900287
219,2,7.90816,7.2718387,7.6900287
219,3,5.726975,7.3467393,7.6900287
220,1,7.90816,7.267025,9.1115055
220,2,5.726975,7.2481756,9.1115055
220,3,7.0069585,7.3419094,9.1115055
221,1,5.726975,7.273273,7.90816
221,2,7.0069585,7.2461686,7.90816
221,3,6.8469377,7.325567,7.90816
222,1,7.0069585,7.3034463,5.726975
222,2,6.8469377,7.2719107,5.726975
222,3,7.872826,7.3236637,5.726975
223,1,6.8469377,7.2970943,7.0069585
223,2,7.872826,7.2708454,7.0069585
223,3,5.603266,7.3393893,7.0069585
224,1,7.872826,7.302259,6.8469377
224,2,5.603266,7.287764,6.8469377
224,3,9.418947,7.3559465,6.8469377
225,1,5.603266,7.294749,7.872826
225,2,9.418947,7.289366,7.872826
225,3,11.002361,7.3628936,7.872826
226,1,9.418947,7.3155155,5.603266
226,2,11.002361,7.311982,5.603266
226,3,6.0531893,7.357577,5.603266
227,1,11.002361,7.3001037,9.418947
227,2,6.0531893,7.3063912,9.418947
